"last_name, first_name","player_id","year","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","exit_velocity_avg","launch_angle_avg","barrel_batted_rate","z_swing_percent","oz_swing_percent","oz_contact_percent","iz_contact_percent","whiff_percent",""
"Gamel, Ben","592325","2017",".254",".378",".315",".297",".304",".124",".379",".353",".359",".333","86.3","10.9",4.1,62.3,26.6,63.2,85.3,20.9,
"Healy, Ryon","592387","2017",".253",".446",".320",".313",".287",".193",".401",".392",".358",".337","88.3","12.8",7.6,62.2,33.6,56.2,83,26.8,
"Judge, Aaron","592450","2017",".287",".668",".430",".450",".427",".381",".600",".641",".456",".466","95","15.8",25.7,66.1,22.8,39.7,77,34.9,
"Machado, Manny","592518","2017",".279",".517",".328",".360",".333",".238",".366",".409",".311",".341","91.3","13.6",10.5,71.9,29.6,60.6,86.3,21.9,
"Realmuto, J.T.","592663","2017",".279",".444",".332",".335",".335",".165",".380",".384",".345",".349","88.2","10.1",6.3,66.9,28.4,65.8,86.6,19.2,
"Rosario, Eddie","592696","2017",".264",".478",".349",".332",".306",".214",".407",".383",".354",".324","87.2","13.3",7.4,76,36.8,68.8,78.6,24,
"Simmons, Andrelton","592743","2017",".261",".381",".323",".307",".318",".119",".328",".309",".309",".294","86.1","7.8",2.5,66.5,26.7,76.1,89.4,13.5,
"Yelich, Christian","592885","2017",".281",".453",".348",".357",".371",".172",".389",".403",".361",".363","90.6","4.6",7,64,23.1,57.7,85.7,22.1,
"Merrifield, Whit","593160","2017",".275",".454",".332",".327",".314",".179",".365",".359",".334",".321","87.6","16.4",5.1,68.5,32.2,68.7,88.1,17.5,
"Bogaerts, Xander","593428","2017",".243",".332",".321",".287",".317",".089",".357",".309",".341",".305","87.3","8.1",1.3,55.1,29.1,63.6,87.5,20.8,
"Polanco, Jorge","593871","2017",".240",".362",".309",".291",".302",".122",".328",".305",".300",".286","85","16.3",2.6,62.4,24.2,66.9,89.8,14.4,
"Calhoun, Kole","594777","2017",".249",".412",".315",".327",".340",".163",".345",".364",".315",".325","88.3","12.3",5.7,70.9,28.9,58.6,81.5,25.7,
"Duvall, Adam","594807","2017",".226",".420",".327",".301",".284",".194",".414",".377",".341",".315","87.3","21.1",8.9,66.3,31.4,60.5,81,26,
"Schebler, Scott","594988","2017",".256",".493",".330",".348",".330",".237",".396",".424",".312",".346","89.1","11.6",10.2,76.3,32.8,58,76.6,29.2,
"Baez, Javier","595879","2017",".239",".429",".326",".295",".287",".189",".451",".406",".391",".346","87.9","10.1",8.4,73.3,42.9,47.3,75,36.2,
"Lindor, Francisco","596019","2017",".280",".500",".353",".357",".345",".220",".376",".382",".317",".327","89.1","14.6",7.1,67.8,28.9,70.9,90.5,15.3,
"Odor, Rougned","596059","2017",".230",".404",".272",".289",".277",".174",".337",".362",".276",".313","89.1","15.9",6,71.7,37.2,59.6,82.8,25.9,
"Story, Trevor","596115","2017",".217",".409",".323",".299",".289",".192",".464",".422",".383",".350","89.4","19.2",10.5,68.9,26.8,48.7,75.8,31.4,
"Sanchez, Gary","596142","2017",".288",".552",".368",".385",".356",".264",".446",".472",".369",".386","90.8","13.1",11.8,66.1,32.5,56,80.6,28.5,
"Kepler, Max","596146","2017",".244",".375",".315",".302",".315",".131",".356",".338",".310",".314","88.7","13.2",4,61.1,26.8,59.4,85.2,22.2,
"Franco, Maikel","596748","2017",".246",".397",".292",".303",".299",".151",".316",".330",".272",".296","88.8","11.5",6,74.7,28.5,66.7,82.4,22.3,
"Bradley Jr., Jackie","598265","2017",".238",".407",".313",".316",".319",".169",".364",".369",".328",".322","88.3","9.5",7.5,67.1,26,56.4,75.6,29.6,
"Bell, Josh","605137","2017",".261",".432",".338",".333",".341",".171",".378",".371",".321",".330","87.6","8.6",6.4,66.9,24.1,65.6,81.1,23.5,
"Betts, Mookie","605141","2017",".273",".436",".339",".340",".355",".163",".342",".344",".300",".313","88.4","14.3",4.5,53.4,19.3,70.1,89.6,15.7,
"Panik, Joe","605412","2017",".256",".374",".329",".307",".324",".118",".330",".304",".316",".287","85","11.4",2.6,63.9,23.2,78.8,92.7,11.1,
"Arcia, Orlando","606115","2017",".243",".352",".309",".278",".296",".109",".359",".318",".342",".304","85.7","6.8",3.9,74.8,34.7,59.5,80.5,25.6,
"Peraza, Jose","606299","2017",".282",".365",".273",".301",".320",".083",".292",".327",".301",".330","82.8","11.2",1.7,68.2,34.4,69.1,90.4,15.2,
"Pillar, Kevin","607680","2017",".270",".401",".302",".311",".315",".131",".329",".341",".303",".321","86","13",3.4,67.9,36.9,69.2,90.8,16.4,
"Ramirez, Jose","608070","2017",".302",".487",".396",".360",".360",".185",".420",".376",".357",".340","88.2","15",5,65.8,23.1,76,90.4,13.6,
"Bregman, Alex","608324","2017",".274",".439",".351",".338",".344",".165",".379",".362",".339",".328","87.6","16.4",4.7,65.9,24.1,70,88.6,16.5,
"Gallo, Joey","608336","2017",".224",".560",".364",".379",".345",".335",".538",".570",".372",".398","93.3","23",22.1,72.8,28.3,37.5,66.8,43.4,
"Seager, Corey","608369","2017",".300",".522",".364",".383",".381",".221",".427",".455",".387",".395","89.7","11.1",8.5,78.3,25.7,50,81.3,27.2,
"Mazara, Nomar","608577","2017",".248",".424",".317",".318",".319",".176",".365",".365",".326",".320","89","11.3",6.5,65.3,30.9,61.5,82,25.7,
"Swanson, Dansby","621020","2017",".244",".343",".276",".295",".327",".099",".310",".338",".304",".326","86.9","8.3",3,66.4,24.8,59.9,82.7,23.7,
"Taylor, Chris","621035","2017",".270",".453",".361",".342",".339",".182",".451",".424",".397",".375","87.1","12.2",8,68.5,22.2,47.5,82.3,25.3,
"Buxton, Byron","621439","2017",".236",".387",".312",".298",".300",".151",".412",".394",".373",".352","88.1","15.2",5.6,66.7,32,49.5,74.9,30.4,
"Margot, Manuel","622534","2017",".259",".369",".309",".300",".313",".110",".358",".347",".332",".334","85.3","10.4",2.6,63.2,26.9,64,83.8,21.4,
"Puig, Yasiel","624577","2017",".269",".492",".349",".359",".354",".223",".385",".400",".324",".337","88.5","10.4",9.4,69.8,26.4,58.2,82.2,24.6,
"Anderson, Tim","641313","2017",".240",".381",".288",".274",".261",".140",".383",".364",".354",".333","85.6","8",5.1,70.3,40.3,52,80.3,29.5,
"Bellinger, Cody","641355","2017",".254",".540",".380",".365",".343",".285",".496",".473",".380",".365","90.8","17.5",12.2,68,23.5,54.2,72,32.3,
"Mancini III, Trey","641820","2017",".264",".481",".349",".338",".314",".216",".436",".421",".390",".356","88.6","7.1",10,73.3,31.4,58.5,78,28.4,
"Benintendi, Andrew","643217","2017",".265",".435",".332",".338",".349",".170",".358",".366",".330",".327","87.5","14.7",5.5,65.3,25.2,66.1,86.7,19.2,
"Martinez, Victor","400121","2018",".266",".406",".281",".313",".314",".140",".285",".323",".275",".296","87.8","14.1",4.7,68.4,32,75.8,90.7,14.3,
"Mauer, Joe","408045","2018",".295",".448",".319",".354",".365",".153",".343",".390",".340",".359","91.1","4.4",5,49.7,19.3,64.9,91.4,15.1,
"Choo, Shin-Soo","425783","2018",".250",".464",".355",".362",".365",".214",".409",".420",".365",".345","89.3","6.1",11.1,61,22,57.6,78.2,26.8,
"Molina, Yadier","425877","2018",".266",".432",".323",".329",".321",".166",".341",".348",".301",".309","88.2","15.4",5.5,70.6,35.3,75,86.4,17.2,
"Encarnacion, Edwin","429665","2018",".245",".479",".346",".356",".341",".234",".404",".421",".328",".336","89.9","18",11.2,66.3,24.6,56.4,80.9,26.3,
"Jones, Adam","430945","2018",".269",".411",".315",".311",".303",".142",".353",".349",".332",".319","88.3","13.2",4.9,72.9,39.5,58.3,86.6,23.7,
"Kinsler, Ian","435079","2018",".248",".368",".298",".301",".310",".119",".302",".305",".275",".285","85.3","17.7",3.1,66.3,24.4,74.6,92.2,12.2,
"Desmond, Ian","435622","2018",".228",".384",".315",".303",".301",".156",".373",".354",".317",".307","90.1","0.1",7,69.9,27.2,50.5,78.9,28.8,
"Cruz Jr., Nelson","443558","2018",".281",".566",".361",".396",".365",".284",".417",".469",".333",".367","93.9","12.8",13.8,68.7,28.4,44.5,82.1,30.6,
"Peralta, David","444482","2018",".278",".472",".368",".350",".340",".194",".437",".412",".374",".358","91.5","6.7",7.8,67.1,28.5,60.6,82.7,23.7,
"Escobar, Alcides","444876","2018",".238",".327",".261",".274",".288",".089",".273",".290",".270",".280","84.6","10.6",2.1,72.2,32.5,63.2,84.5,20.1,
"Jay, Jon","445055","2018",".251",".333",".301",".293",".316",".082",".320",".310",".324",".305","85.1","4.2",1.8,65.5,32.9,62.3,88.2,19.8,
"Longoria, Evan","446334","2018",".249",".428",".295",".310",".289",".178",".347",".367",".305",".315","88.5","13.6",7.6,67,29.1,67.3,84.3,20.6,
"Davis, Chris","448801","2018",".188",".354",".239",".272",".263",".166",".327",".389",".280",".318","89.3","15.1",10.3,62.9,28.1,48.7,73.3,34.4,
"Zobrist, Ben","450314","2018",".275",".390",".355",".333",".354",".115",".361",".333",".346",".315","89.9","9",3,60.4,21.9,72.5,89.8,14.2,
"Cabrera, Asdrubal","452678","2018",".251",".432",".332",".320",".306",".181",".387",".373",".333",".320","90","14.6",7.2,70.9,29.2,64.4,82.7,22.6,
"Blackmon, Charlie","453568","2018",".276",".445",".368",".346",".346",".169",".425",".394",".368",".351","87.5","12",6.5,66,29.2,62.3,86.6,20.3,
"Markakis, Nick","455976","2018",".293",".425",".345",".345",".366",".132",".355",".355",".335",".335","90.6","10.1",3.1,60.6,20,76.3,92.6,11.4,
"Nunez, Eduardo","456488","2018",".258",".349",".292",".280",".286",".092",".323",".309",".307",".303","88.3","9.4",3.4,72.9,36.3,71.8,90.5,15.7,
"Cain, Lorenzo","456715","2018",".282",".389",".359",".342",".373",".107",".376",".353",".371",".340","89.1","4.9",3.4,63.9,21,64.3,88.1,17.8,
"McCutchen, Andrew","457705","2018",".260",".444",".347",".360",".373",".185",".380",".400",".336",".345","90","13.4",8.4,62.1,15.9,61.3,81.3,22.5,
"Upton, Justin","457708","2018",".250",".466",".348",".354",".342",".216",".447",".458",".377",".374","90.7","11.9",14,64.9,20.9,49.6,74.8,31.5,
"Votto, Joey","458015","2018",".285",".472",".370",".391",".420",".187",".374",".406",".353",".357","88.1","13.4",6.7,66.9,13.1,75.2,83.5,17.9,
"Gardner, Brett","458731","2018",".226",".334",".305",".293",".315",".108",".318",".301",".292",".281","88","9.4",2.8,52.8,21,72.2,91.5,13.6,
"Gordon, Alex","460086","2018",".253",".423",".305",".329",".331",".171",".346",".382",".323",".333","88.5","10.9",6.8,65.5,28.5,55,85,23.9,
